Item,beatport_key/1.0
299050 Chris Liebing - D (Original Mix).jams,0.011140557605200349
299059 Tigerskin - Desperate Mouselives (Original Mix).jams,0.0
299063 Moritz Piske - Ein Kanguruh Im Klubraum (Original Mix).jams,0.0
299064 Gennaro Rossi - Purple Haze (Original Mix).jams,0.0
299073 The Factory - Couldn't Love You More (Mark Storie Remix).jams,0.0
29912 Slam - Bright Lights Fading (Slam Mix).jams,0.01122725542325414
"299157 David Penn, Dave Storm - Plastic People (Montilla Remix).jams",0.011404763272249362
299159 Porno - Gonna Shake It (Kortezman Club Mix).jams,0.0
299160 Porno - Gonna Shake It (Kortezman Dub Mix).jams,0.0
299298 Ramatis - Fresh feat. Rose Max (Original Mix).jams,0.01064724419950848
"299306 Leo Janeiro, CIC - So Freak Me (Original Mix).jams",0.011404763272249362
299310 Global Cee - Alive (Global Mix).jams,0.010195767105888494
299311 Global Cee - Alive (Cee Mix).jams,0.010124217273707334
299355 Wipes - Bang (Mass In Orbit Remix).jams,0.0
299365 Kan Cold - Restart (Original Mix).jams,0.010124217273707334
299396 Quarks - Wiederkomm (Original Mix).jams,0.0
299450 Florida - The Girl On The Escalator (Original Mix).jams,0.014797001928080554
299452 Cajjmere Wray - Biggest Mistake feat. Sasha (Original Radio Edit).jams,0.01122725542325414
299453 Cajjmere Wray - Biggest Mistake feat. Sasha (Original Club Mix).jams,0.0
299454 Cajjmere Wray - Biggest Mistake feat. Sasha (Cajjmere Wray's Tribal Radio Edit).jams,0.0
299455 Cajjmere Wray - Biggest Mistake feat. Sasha (Cajjmere Wray's Peak Hour Tribal Mix).jams,0.0
299456 Cajjmere Wray - Biggest Mistake feat. Sasha (Cajjmere Wray's Darker Tribal Dub).jams,0.0
299462 Quarks - Fallen (Werden Wir Alle In Grossen Spiralen Aus Dem Himmel Gespuckt) (Schneider TM Mix).jams,0.0161196653632769
299464 Quarks - Dunkeln (Jamie Hodge Mix).jams,0.013805799525030428
